Employee_ID,Age,Age_Group,Gender,Industry,Job_Role,Education_Level,Edu_Score,AI_Adoption_Level,AI_Score,Automation_Risk,Risk_Score,Upskilling_Required,Salary_Before_AI,Salary_After_AI,Salary_Change,Salary_Change_Pct,Vulnerability_Index
E0396,47,41-50,Female,Finance,Auditor,High School,1,High,3,High,3,No,118668,107079,-11589,-9.77,9.0
E0416,53,51-60,Female,Finance,Investment Analyst,High School,1,High,3,High,3,No,114162,150070,35908,31.45,9.0
E0681,53,51-60,Other,Marketing,SEO Specialist,High School,1,High,3,High,3,No,39417,45086,5669,14.38,9.0
E0906,57,51-60,Female,Marketing,Digital Marketer,High School,1,High,3,High,3,No,72292,65669,-6623,-9.16,9.0
E1339,57,51-60,Female,Finance,Accountant,High School,1,High,3,High,3,No,116158,101766,-14392,-12.39,9.0
E1813,59,51-60,Female,Finance,Investment Analyst,High School,1,High,3,High,3,No,84499,105407,20908,24.74,9.0
E0398,33,31-40,Female,Retail,Sales Associate,High School,1,High,3,High,3,No,38770,46188,7418,19.13,8.5
E0637,51,51-60,Female,Retail,Store Manager,Bachelor,2,High,3,High,3,No,60676,76314,15638,25.77,8.5
E0722,53,51-60,Female,Finance,Accountant,Bachelor,2,High,3,High,3,No,55256,59477,4221,7.64,8.5
E0803,40,31-40,Male,Marketing,SEO Specialist,High School,1,High,3,High,3,No,61186,77876,16690,27.28,8.5
E0902,55,51-60,Other,Education,Teacher,Bachelor,2,High,3,High,3,No,114585,125226,10641,9.29,8.5
E0992,25,22-30,Other,Retail,Cashier,High School,1,High,3,High,3,No,52340,54605,2265,4.33,8.5
E1069,25,22-30,Female,IT,Software Engineer,High School,1,High,3,High,3,No,82389,97420,15031,18.24,8.5
E1135,37,31-40,Male,Healthcare,Doctor,High School,1,High,3,High,3,No,53332,74618,21286,39.91,8.5
E1493,32,31-40,Female,Marketing,Digital Marketer,High School,1,High,3,High,3,No,55792,56275,483,0.87,8.5
E1654,39,31-40,Female,Education,Administrator,High School,1,High,3,High,3,No,119532,109181,-10351,-8.66,8.5
E0118,52,51-60,Other,IT,Software Engineer,Master,3,High,3,High,3,No,106323,148677,42354,39.84,8.0
E0194,47,41-50,Other,Retail,Store Manager,High School,1,High,3,High,3,Yes,57376,78855,21479,37.44,8.0
E0220,36,31-40,Female,Finance,Accountant,Bachelor,2,High,3,High,3,No,48639,54764,6125,12.59,8.0
E0228,51,51-60,Male,Manufacturing,Supervisor,High School,1,High,3,High,3,Yes,118652,100515,-18137,-15.29,8.0
E0353,41,41-50,Female,Marketing,SEO Specialist,Bachelor,2,High,3,High,3,No,48681,55359,6678,13.72,8.0
E0446,35,31-40,Female,Finance,Investment Analyst,Bachelor,2,High,3,High,3,No,91388,125074,33686,36.86,8.0
E0673,38,31-40,Other,Finance,Auditor,Bachelor,2,High,3,High,3,No,80225,69276,-10949,-13.65,8.0
E0716,58,51-60,Male,Education,Professor,Master,3,High,3,High,3,No,62083,70672,8589,13.83,8.0
E0933,57,51-60,Female,Finance,Accountant,Master,3,High,3,High,3,No,82611,114537,31926,38.65,8.0
E0963,31,31-40,Other,Education,Administrator,Bachelor,2,High,3,High,3,No,45994,55882,9888,21.5,8.0
E1042,45,41-50,Male,Marketing,SEO Specialist,Bachelor,2,High,3,High,3,No,85718,101754,16036,18.71,8.0
E1377,44,41-50,Male,IT,Data Analyst,Bachelor,2,High,3,High,3,No,78591,104399,25808,32.84,8.0
E1495,46,41-50,Other,IT,DevOps Engineer,Master,3,High,3,High,3,No,116120,126898,10778,9.28,8.0
E1551,44,41-50,Female,Finance,Accountant,Bachelor,2,High,3,High,3,No,115782,117419,1637,1.41,8.0
E1558,30,22-30,Female,Education,Administrator,Bachelor,2,High,3,High,3,No,118406,102997,-15409,-13.01,8.0
E1838,59,51-60,Female,Finance,Investment Analyst,Master,3,High,3,High,3,No,105911,99018,-6893,-6.51,8.0
E1904,32,31-40,Other,Retail,Store Manager,Bachelor,2,High,3,High,3,No,34507,38929,4422,12.81,8.0
E0001,50,41-50,Female,Marketing,Content Creator,Bachelor,2,High,3,High,3,Yes,106820,95455,-11365,-10.64,7.5
E0018,53,51-60,Other,Education,Teacher,Bachelor,2,High,3,High,3,Yes,48141,42537,-5604,-11.64,7.5
E0077,58,51-60,Male,Manufacturing,Machine Operator,Bachelor,2,High,3,High,3,Yes,58295,59726,1431,2.45,7.5
E0217,43,41-50,Other,IT,DevOps Engineer,High School,1,High,3,High,3,Yes,52042,68738,16696,32.08,7.5
E0267,27,22-30,Female,Education,Teacher,Master,3,High,3,High,3,No,61348,79032,17684,28.83,7.5
E0310,53,51-60,Female,Education,Professor,Bachelor,2,High,3,High,3,Yes,71424,61841,-9583,-13.42,7.5
E0330,45,41-50,Female,Education,Teacher,Master,3,High,3,High,3,No,87804,92022,4218,4.8,7.5
E0386,41,41-50,Other,Education,Administrator,Master,3,High,3,High,3,No,38472,40505,2033,5.28,7.5
E0442,40,31-40,Other,Finance,Accountant,Master,3,High,3,High,3,No,40503,56574,16071,39.68,7.5
E0488,58,51-60,Other,Marketing,Digital Marketer,Bachelor,2,High,3,High,3,Yes,93761,108400,14639,15.61,7.5
E0519,22,22-30,Other,Retail,Sales Associate,Master,3,High,3,High,3,No,105225,94473,-10752,-10.22,7.5
E0707,23,22-30,Male,Healthcare,Technician,Master,3,High,3,High,3,No,78899,67987,-10912,-13.83,7.5
E0836,55,51-60,Male,Marketing,Digital Marketer,Bachelor,2,High,3,High,3,Yes,48300,39878,-8422,-17.44,7.5
E0846,44,41-50,Male,Marketing,Digital Marketer,Master,3,High,3,High,3,No,86633,101816,15183,17.53,7.5
E0884,45,41-50,Female,Manufacturing,Quality Inspector,Master,3,High,3,High,3,No,78570,99768,21198,26.98,7.5
E1001,35,31-40,Male,Manufacturing,Machine Operator,High School,1,High,3,High,3,Yes,87184,121304,34120,39.14,7.5
E1110,48,41-50,Male,Healthcare,Nurse,Bachelor,2,High,3,High,3,Yes,113276,139427,26151,23.09,7.5
E1111,26,22-30,Male,Finance,Investment Analyst,Master,3,High,3,High,3,No,98906,80776,-18130,-18.33,7.5
E1205,51,51-60,Male,Retail,Cashier,PhD,4,High,3,High,3,No,39967,36102,-3865,-9.67,7.5
E1208,49,41-50,Male,Education,Administrator,Bachelor,2,High,3,High,3,Yes,65393,71851,6458,9.88,7.5
E1235,27,22-30,Female,Manufacturing,Quality Inspector,High School,1,High,3,High,3,Yes,88420,123694,35274,39.89,7.5
E1365,43,41-50,Other,Finance,Investment Analyst,Master,3,High,3,High,3,No,91821,121337,29516,32.15,7.5
E1544,36,31-40,Female,Education,Professor,Master,3,High,3,High,3,No,48361,38899,-9462,-19.57,7.5
E1613,25,22-30,Other,IT,Software Engineer,High School,1,High,3,High,3,Yes,111455,125354,13899,12.47,7.5
E1619,43,41-50,Male,Marketing,SEO Specialist,Master,3,High,3,High,3,No,60314,57975,-2339,-3.88,7.5
E1844,35,31-40,Male,Manufacturing,Supervisor,Master,3,High,3,High,3,No,108766,136079,27313,25.11,7.5
E1863,41,41-50,Other,IT,Data Analyst,High School,1,High,3,High,3,Yes,37802,49549,11747,31.08,7.5
E1873,34,31-40,Other,Healthcare,Doctor,High School,1,High,3,High,3,Yes,89817,98466,8649,9.63,7.5
E1880,58,51-60,Male,IT,Data Analyst,Bachelor,2,High,3,High,3,Yes,116623,155556,38933,33.38,7.5
E1882,59,51-60,Female,Retail,Store Manager,PhD,4,High,3,High,3,No,46442,42287,-4155,-8.95,7.5
E1939,43,41-50,Male,Marketing,Content Creator,High School,1,High,3,High,3,Yes,49727,57966,8239,16.57,7.5
E0144,44,41-50,Male,Finance,Investment Analyst,Bachelor,2,High,3,High,3,Yes,83173,92430,9257,11.13,7.0
E0209,40,31-40,Male,Education,Administrator,Bachelor,2,High,3,High,3,Yes,117272,161576,44304,37.78,7.0
E0243,23,22-30,Male,Manufacturing,Supervisor,PhD,4,High,3,High,3,No,94324,79371,-14953,-15.85,7.0
E0461,38,31-40,Male,IT,Software Engineer,PhD,4,High,3,High,3,No,84040,82260,-1780,-2.12,7.0
E0620,45,41-50,Other,Education,Administrator,Bachelor,2,High,3,High,3,Yes,119462,146222,26760,22.4,7.0
E0633,41,41-50,Male,Manufacturing,Machine Operator,Bachelor,2,High,3,High,3,Yes,30336,27036,-3300,-10.88,7.0
E0888,39,31-40,Female,IT,Software Engineer,PhD,4,High,3,High,3,No,80717,82337,1620,2.01,7.0
E0952,34,31-40,Female,Education,Administrator,Bachelor,2,High,3,High,3,Yes,96381,77833,-18548,-19.24,7.0
E0980,52,51-60,Female,Retail,Store Manager,Master,3,High,3,High,3,Yes,109096,121776,12680,11.62,7.0
E1225,58,51-60,Female,Healthcare,Nurse,Master,3,High,3,High,3,Yes,54843,63315,8472,15.45,7.0
E1356,43,41-50,Male,Manufacturing,Machine Operator,Bachelor,2,High,3,High,3,Yes,61996,74850,12854,20.73,7.0
E1371,38,31-40,Other,Healthcare,Doctor,PhD,4,High,3,High,3,No,108798,122523,13725,12.62,7.0
E1453,38,31-40,Female,Retail,Cashier,PhD,4,High,3,High,3,No,117616,127688,10072,8.56,7.0
E1548,59,51-60,Male,IT,Software Engineer,Master,3,High,3,High,3,Yes,106215,140573,34358,32.35,7.0
E1584,33,31-40,Female,Manufacturing,Quality Inspector,Bachelor,2,High,3,High,3,Yes,83871,83496,-375,-0.45,7.0
E1601,33,31-40,Other,Marketing,Content Creator,Bachelor,2,High,3,High,3,Yes,53016,67739,14723,27.77,7.0
E1694,35,31-40,Male,Retail,Store Manager,PhD,4,High,3,High,3,No,113816,154751,40935,35.97,7.0
E1762,57,51-60,Other,Education,Teacher,Master,3,High,3,High,3,Yes,52787,62031,9244,17.51,7.0
E1965,25,22-30,Female,Healthcare,Nurse,PhD,4,High,3,High,3,No,51695,50114,-1581,-3.06,7.0
E0106,26,22-30,Other,Finance,Accountant,Master,3,High,3,High,3,Yes,46907,43332,-3575,-7.62,6.5
E0139,29,22-30,Other,Manufacturing,Machine Operator,Master,3,High,3,High,3,Yes,106077,124000,17923,16.9,6.5
E0331,40,31-40,Female,Marketing,Digital Marketer,Master,3,High,3,High,3,Yes,59725,79075,19350,32.4,6.5
E0608,49,41-50,Other,Education,Teacher,PhD,4,High,3,High,3,Yes,35213,46796,11583,32.89,6.5
E0621,31,31-40,Other,Healthcare,Doctor,Master,3,High,3,High,3,Yes,115103,104115,-10988,-9.55,6.5
E0798,44,41-50,Female,Healthcare,Doctor,Master,3,High,3,High,3,Yes,47558,49059,1501,3.16,6.5
E0800,23,22-30,Male,Finance,Auditor,Master,3,High,3,High,3,Yes,33084,34966,1882,5.69,6.5
E0926,50,41-50,Female,Retail,Sales Associate,PhD,4,High,3,High,3,Yes,31407,38486,7079,22.54,6.5
E1204,32,31-40,Female,IT,DevOps Engineer,Master,3,High,3,High,3,Yes,36791,44274,7483,20.34,6.5
E1253,40,31-40,Other,Healthcare,Technician,Master,3,High,3,High,3,Yes,112806,119931,7125,6.32,6.5
E1312,29,22-30,Other,Marketing,Content Creator,Master,3,High,3,High,3,Yes,106772,110638,3866,3.62,6.5
E1494,47,41-50,Female,IT,Data Analyst,PhD,4,High,3,High,3,Yes,78542,98309,19767,25.17,6.5
E1543,52,51-60,Other,Education,Teacher,PhD,4,High,3,High,3,Yes,64928,88297,23369,35.99,6.5
E1688,34,31-40,Other,Marketing,Content Creator,Master,3,High,3,High,3,Yes,75924,61533,-14391,-18.95,6.5
E1789,34,31-40,Female,Marketing,SEO Specialist,Master,3,High,3,High,3,Yes,86132,77382,-8750,-10.16,6.5
E1990,50,41-50,Male,Finance,Investment Analyst,PhD,4,High,3,High,3,Yes,115078,93786,-21292,-18.5,6.5
E0703,42,41-50,Male,Marketing,Digital Marketer,PhD,4,High,3,High,3,Yes,76418,106305,29887,39.11,6.0
E0751,38,31-40,Male,IT,Data Analyst,PhD,4,High,3,High,3,Yes,54495,62776,8281,15.2,6.0
E0899,44,41-50,Female,IT,DevOps Engineer,PhD,4,High,3,High,3,Yes,86463,86905,442,0.51,6.0
E1241,30,22-30,Male,Healthcare,Doctor,PhD,4,High,3,High,3,Yes,37436,47339,9903,26.45,6.0
E1671,45,41-50,Other,IT,Data Analyst,PhD,4,High,3,High,3,Yes,115366,99517,-15849,-13.74,6.0
E1756,44,41-50,Male,Marketing,SEO Specialist,PhD,4,High,3,High,3,Yes,80877,98817,17940,22.18,6.0
E1795,45,41-50,Female,Retail,Store Manager,PhD,4,High,3,High,3,Yes,56567,52839,-3728,-6.59,6.0
